Intitulé du poste,Date de publication,lieu,competences,Type de poste
['Responsable Etudes et Projets SI H/F\n'],"
postée il y a 8 heures
","['\nBoulogne-Billancourt\n', '\n55.000,00 € - 60.000,00 € / an\n']","['\nsi\n', '\ndata management\n', '\ndata quality\n', '\nméthodologie\n', '\noutils\n']","['\n', '\n', 'Michael Page', '\n', 'Cabinet de recrutement', '\n', '\n', '\nCDI - temps plein\n']"
['\nIngénieur BI & Big Data stagiaire F/H\n'],"
postée il y a 25 jours
",['\nSaint-Germain-en-Laye\n'],"['\nbig data\n', '\nbases de données\n', '\nnosql\n', '\nsystème\n', '\ndecisionnel\n']","['\n', '\n', 'TRIMANE', '\n', 'ESN', '\n', '\n', '\nStage\n']"
['\nStage BI & Big Data #3 F/H\n'],"
postée il y a 21 jours
",['\nSaint-Germain-en-Laye\n'],"['\nbig data\n', '\nbusiness intelligence\n', '\nmachine learning\n', '\noutils\n', '\nnosql\n']","['\n', '\n', 'TRIMANE', '\n', 'ESN', '\n', '\n', '\nStage\n']"
['Ingénieur d’affaires / Business Developer–Data h/f\n'],"
postée il y a 29 jours
","['\nSuresnes\n', '\n70.000,00 € - 100.000,00 € / an\n']","['\nbusiness intelligence\n', '\ncrm\n', '\nintelligence artificielle\n', '\nsystème\n', '\nréseau\n']","['\n', '\n', 'Selescope', '\n', '\n', '\nCDI - temps plein\n']"
['Business Developer – IA / Data Analytics h/f\n'],"
postée il y a 19 jours
","['\nSuresnes\n', '\n70.000,00 € - 100.000,00 € / an\n']","['\nintelligence artificielle\n', '\nbusiness intelligence\n', '\ncrm\n', '\nsystème\n', '\nréseau\n']","['\n', '\n', 'Selescope', '\n', '\n', '\nCDI - temps plein\n']"
['Business Analyst / Solution Owner - Life Sciences\n'],"
postée hier
","['\nLa Défense, Île de France, FR\n']","['\nsi\n', '\nmultimédia\n', '\nacquisition\n', '\ntélécoms\n']","['\n', '\n', 'MODIS', '\n', 'Cabinet de conseil', '\n', '\n', '\nCDI - temps plein\n']"
['Data Engineer - H/F\n'],"
postée il y a 1 mois
","['\nParis, La Défense\n']","['\noutils\n', '\nbig data\n', '\npython\n', '\ndevops\n', '\nagile\n']","['\n', '\n', 'EDF France', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Business Analyst / Business Intelligence\n'],"
postée hier
","['\nRUEIL MALMAISON\n', '\n35.000,00 € - 45.000,00 € / an\n']","['\nbusiness intelligence\n', '\nmarketing\n', '\nintelligence artificielle\n']","['\n', '\n', 'FED IT', '\n', 'Cabinet de recrutement', '\n', '\n', '\nCDI - temps plein\n']"
['Stagiaire Ingénieur Big Data/ Intelligence Artificielle H/F H/F\n'],"
postée il y a 5 jours
",['\nIle-de-France\n'],"['\nbig data\n', '\nintelligence artificielle\n', '\nnosql\n', '\npython\n', '\nhadoop\n']","['\n', '\n', 'Direct energie', '\n', 'Client final', '\n', '\n', '\nStage\n']"
['\nGlobal Technical SEO Manager\n'],"
postée il y a 14 jours
",['\nParis\n'],"['\nseo\n', '\ncommunication\n', '\nnetwork\n', '\naccess\n', '\nrails\n']","['\n', '\n', 'CareerBuilder.com', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['\nTechnicien Support Informatique H/F\n'],"
postée il y a 13 jours
",['\nIle de France\n'],"['\nsupport\n', '\nwan\n', '\nwindows\n', '\noutils\n', '\nexchange\n']","['\n', '\n', 'UMANIS', '\n', 'ESN', '\n', '\n', '\nCDI - temps plein\n']"
['Investor Relations Professional\n'],"
postée il y a 9 jours
",['\nRueil-Malmaison\n'],"['\ncommunication\n', '\nsupport\n', '\ndatabase\n', '\ncrm\n', '\naccess\n']","['\n', '\n', 'Société générale', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['AGILE BUSINESS ANALYST\n'],"
postée il y a 22 jours
",['\nIle de France\n'],"['\nagile\n', '\nsi\n', '\nsupport\n', '\ndevops\n', '\nsql\n']","['\n', '\n', 'Societe Generale', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Alternance - Analyse de sensibilité des données métier et mise en oeuvre du référentiel data/big data - H/F\n'],"
postée il y a 21 jours
","['\nParis, La Défense\n']","['\noutils\n', '\nbig data\n', '\nsi\n', '\nréseau\n', '\nsecurité\n']","['\n', '\n', 'EDF France', '\n', 'Client final', '\n', '\n', '\nContrat de professionnalisation\n']"
['DATA SCIENTIST\n'],"
postée il y a 9 jours
",['\nVal-de-Marne\n'],"['\nhadoop\n', '\nmachine learning\n', '\noutils\n', '\nbases de données\n', '\nsql\n']","['\n', '\n', 'Societe Generale', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Junior Data Scientist - WINGLET.IO\n'],"
postée il y a 22 jours
",['\nParis\n'],"['\nsql\n', '\npython\n', '\nscala\n', '\nt-sql\n', '\nedge\n']","['\n', '\n', 'Paris&Co', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Senior Data Scientist - WINGLET.IO\n'],"
postée il y a 22 jours
",['\nParis\n'],"['\nsql\n', '\npython\n', '\nscala\n', '\nt-sql\n', '\nedge\n']","['\n', '\n', 'Paris&Co', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['\nData Scientist\n'],"
postée il y a 29 jours
","['\nParis\n', '\n45.000,00 € - 70.000,00 € / an\n']","['\nmachine learning\n', '\nméthodologie\n', '\nagile\n']","['\n', '\n', 'Key Consulting', '\n', 'ESN', '\n', '\n', '\nCDI - temps plein\n']"
['Stage Data Analyst-(H/F)\n'],"
postée hier
",['\nLa Defense\n'],"['\noutils\n', '\nperl\n', '\nvba\n', '\ntest\n', '\ndata management\n']","['\n', '\n', 'Société générale', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Digital Analyst eCommerce (H/F)\n'],"
postée il y a 7 jours
",['\nMassy\n'],"['\ndigital\n', '\noutils\n', '\ne-commerce\n', '\nmarketing\n', '\ninternet\n']","['\n', '\n', 'Carrefour', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['DATA QUALITY COORDINATION MANAGER-(H/F)\n'],"
postée il y a 22 jours
",['\nFontenay-sous-Bois\n'],"['\ndata quality\n', '\nbig data\n', '\ndevops\n', '\nflex\n', '\ndecisionnel\n']","['\n', '\n', 'Société générale', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['\nIngénieur Cybersécurité H/F\n'],"
postée il y a 2 jours
",['\nParis\n'],"['\nsécurité\n', '\nsecurité\n', '\nblockchain\n', '\ndevops\n', '\ndesign\n']","['\n', '\n', 'CAP FI TECHNOLOGY', '\n', 'ESN', '\n', '\n', '\nCDI - temps plein\n']"
['\nBusiness analyst (Data) - Client final (Private Equity)  - CDI - 50/80K€ - 75\n'],"
postée il y a 17 jours
","['\nParis\n', '\n50.000,00 € - 80.000,00 € / an\n']","['\nrecette\n', '\nsi\n', '\nbig data\n', '\nintelligence artificielle\n']","['\n', '\n', 'MR SEARCH', '\n', 'Cabinet de recrutement', '\n', '\n', '\nCDI - temps plein\n']"
['ADJOINT AU RESPONSABLE DES SOLUTIONS BUSINESS INTELLIGENCE - H/F\n'],"
postée il y a 2 jours
",['\nNOISIEL\n'],"['\nsap\n', '\nsas\n', '\ninformatica\n', '\nbusiness intelligence\n', '\nmicrosoft\n']","['\n', '\n', 'Banque de France', '\n', 'Administration Publique', '\n', '\n', '\nCDI - temps plein\n']"
['\nConsultant Cognos F/H\n'],"
postée il y a 21 jours
",['\nÎle-de-France\n'],"['\ncognos\n', '\netl\n', '\nibm\n', '\nframework\n', '\noutils\n']","['\n', '\n', 'TRIMANE', '\n', 'ESN', '\n', '\n', '\nCDI - temps plein\n']"
['Chief Data Scientist-(H/F)\n'],"
postée il y a 22 jours
",['\nLa Defense\n'],"['\npython\n', '\nframework\n', '\ntensorflow\n', '\nagile\n', '\nintelligence artificielle\n']","['\n', '\n', 'Société générale', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Data Science Engineer - Danone IS/IT\n'],"
postée il y a 9 jours
",['\nSaint-Ouen\n'],"['\nbig data\n', '\njava\n', '\ndata management\n', '\nsupport\n', '\njavascript\n']","['\n', '\n', 'Danone', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['Analyste Fonctionnel BI Microsoft (H/F)\n'],"
postée il y a 22 jours
",['\nÎle-de-France\n'],"['\nmicrosoft\n', '\noutils\n', '\nsql server\n', '\nsql\n', '\nsecurité\n']","['\n', '\n', 'ENGIE', '\n', 'Editeur de logiciel', '\n', '\n', '\nCDI - temps plein\n']"
['Stage - Chargé de projet data référentiel clients-(H/F)\n'],"
postée il y a 15 jours
",['\nColombes\n'],"['\nsi\n', '\ndata management\n', '\ndigital\n']","['\n', '\n', 'Société générale', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
['\nDATA MANAGER H/F\n'],"
postée il y a 1 mois
",['\nLevallois-Perret\n'],['\nsas\n'],"['\n', '\n', 'UTI GROUP', '\n', 'ESN', '\n', '\n', '\nCDI - temps plein\n']"
['Expert Data Protection & Data Privacy Management\n'],"
postée il y a 15 jours
",['\nHauts-de-Seine\n'],"['\ndata management\n', '\nsi\n', '\nsecurité\n', '\noutils\n', '\nsécurité\n']","['\n', '\n', 'Societe Generale', '\n', 'Client final', '\n', '\n', '\nCDI - temps plein\n']"
